target;distractor;id;id_dis;source_target;target_sent;source_dis;distractor_sent
128.wav;dis_160.wav;128;dis_160;corpus;Du hilfst mir beim Fernstudium.;GPT-normal;Am Morgen duftet frischer Kaffee in der Küche.
068.wav;dis_139.wav;68;dis_139;corpus;Draußen fliegt die Landschaft vorbei.;GPT-high;Der Arzt verschrieb Medikamente gegen die Erkältung.
025.wav;dis_135.wav;25;dis_135;GPT-high;Die Blumen blühen im Garten.;GPT-high;In der Bibliothek las sie ein fesselndes Buch.
253.wav;dis_148.wav;253;dis_148;GPT-unprompted;Die Radfahrer erkunden den Wald.;GPT-low;Die Schnecke gewann einen Sprintwettkampf gegen den Hasen.
007.wav;dis_062.wav;7;dis_062;GPT-low;Unruhig tanzen Blätter im Sonnenschein.;GPT-unprompted;Ein charmantes Lächeln erhellt das Gesicht des freundlichen Nachbarn.
119.wav;dis_232.wav;119;dis_232;corpus;Durch den ständigen Föhn verdorren die Ähren.;GPT-low;Der Straßenverkäufer bot mir eine magische Teemischung an.
118.wav;dis_018.wav;118;dis_018;corpus;Bei dem Peitschenknall scheuten die Rösser.;corpus;Vor Erschöpftheit warten wir das Ende des Kampfs nicht ab.
130.wav;dis_055.wav;130;dis_055;corpus;Einstweilen ist Erfolg die Hauptsache.;GPT-unprompted;Die bunte Blumenpracht verschönert den heimischen Garten.
055.wav;dis_247.wav;55;dis_247;corpus;Durch Wald und Feld führt unser Weg.;GPT-creative;Ein verirrter Luftballon trägt Botschaften über die Dächer.
251.wav;dis_142.wav;251;dis_142;GPT-unprompted;Der Regen klopft ans Fenster.;GPT-high;Die Kellnerin empfahl das Tagesgericht des Restaurants.
182.wav;dis_076.wav;182;dis_076;GPT-middle;Der Regenschirm schützt vor plötzlichem Regen.;GPT-low;Im Schatten der Vergangenheit ruht das Geheimnis des Alten.
092.wav;dis_020.wav;92;dis_020;corpus;Motoren brauchen Benzin, Öl und Wasser.;corpus;Im Hauptquartier rüsten sich die Bergsteiger zur Erstbesteigung des Berges.
003.wav;dis_077.wav;3;dis_077;GPT-low;Die Blumen blühen im Winter blau.;GPT-low;Ein Sonnenstrahl berührt zart das antike Buchregal.
198.wav;dis_094.wav;198;dis_094;GPT-unprompted;Der Arzt untersucht den Patienten.;GPT-high;Das laute Gewitter verängstigt die kleinen Kinder.
252.wav;dis_178.wav;252;dis_178;GPT-unprompted;Der Lehrer erklärt schwierige Konzepte.;GPT-literature;Der Krieger kämpfte tapfer gegen die Schatten der Vergangenheit.
241.wav;dis_218.wav;241;dis_218;GPT-humans;Der Nachbar trägt immer Hüte.;GPT-normal;Ich lese gerne Bücher in meiner Freizeit.
225.wav;dis_198.wav;225;dis_198;GPT-humans;Junge Erwachsene genießen das Stadtfest.;GPT-literature;Das Tagebuch erzählte von vergangener Liebe und Verlust.
089.wav;dis_106.wav;89;dis_106;corpus;Sechs Mädchen wollen Schwester werden.;GPT-high;Der Roboter malt Porträts auf dem Bürgersteig.
249.wav;dis_064.wav;249;dis_064;GPT-humans;Die Krankenschwester jongliert mit Medikamenten.;GPT-unprompted;Die kulinarische Vielfalt des Restaurants begeistert die Gäste.
053.wav;dis_102.wav;53;dis_102;corpus;Die Kartoffeln gehören zum Mittagessen;GPT-high;Der Jongleur fischt nach Sternen im Zirkuszelt.
020.wav;dis_068.wav;20;dis_068;GPT-daily;Der Regen prasselt auf das Dachfenster.;GPT-low;In der Nebelsuppe verschwinden die Konturen des Berges.
001.wav;dis_174.wav;1;dis_174;GPT-low;Morgen wird es neblig und eiskalt.;GPT-literature;Der einsame Leuchtturm markierte das Ende ihrer Reise.
164.wav;dis_075.wav;164;dis_075;GPT-low;Der Regen spielt Klavier auf den Dächern.;GPT-low;Die Silhouette des Wanderers verschmilzt mit dem Abenddunkel.
057.wav;dis_192.wav;57;dis_192;corpus;Die Tante bewohnt ein nettes Häuschen;GPT-literature;Die Worte des Zauberers erweckten die vergessene Magie.
052.wav;dis_028.wav;52;dis_028;corpus;Wir wollen heute spazieren gehen.;GPT-unprompted;In der Bibliothek lese ich gern spannende Romane.
126.wav;dis_149.wav;126;dis_149;corpus;Die Entscheidung darfst du selbst fällen.;GPT-low;Im Supermarkt sang der Obstverkäufer fröhlich Kinderlieder.
223.wav;dis_230.wav;223;dis_230;GPT-humans;Die Straßen sind voller fröhlicher Passanten.;GPT-low;Auf dem Markt traf ich einen Wahrsager mit sprechendem Papagei.
120.wav;dis_003.wav;120;dis_003;corpus;Sie hat die Neuigkeit mit Genugtuung aufgenommen.;corpus;Bitte, wiederholen Sie die Telephonnummer, die Sie erfragt haben.
113.wav;dis_254.wav;113;dis_254;corpus;Er hat eine sprunghafte Gangart.;GPT-creative;Ein Lächeln versteckt sich in den Blüten des Stadtparks.
015.wav;dis_163.wav;15;dis_163;GPT-low;Der alte Baum erzählte vom Leben.;GPT-news;Die Regierung plant neue Maßnahmen zur Klimaverbesserung.
157.wav;dis_047.wav;157;dis_047;GPT-low;Sein Blick streifte die Sterne.;GPT-unprompted;Der ruhige Fluss schlängelt sich durch die grüne Landschaft.
142.wav;dis_107.wav;142;dis_107;corpus;Bei Konkurs kennt der Richter keine Gnade.;GPT-high;Die Wolke jongliert mit Regenschirmen auf dem Berggipfel.
240.wav;dis_037.wav;240;dis_037;GPT-humans;Die Musiker unterhalten Passanten mit ihrer Musik.;GPT-unprompted;In der Pizzeria genießen wir köstliche Spezialitäten aus Italien.
086.wav;dis_150.wav;86;dis_150;corpus;Heute jeder Strauß Blumen zwei Mark.;GPT-low;Der Gärtner entdeckte tanzende Blumen im Sonnenuntergang.
135.wav;dis_226.wav;135;dis_226;corpus;Das amtliche Amtsblatt liegt überm Durchschnitt.;GPT-low;Meine Nachbarn überraschten mich mit selbstgemachten Marmeladen.
082.wav;dis_120.wav;82;dis_120;corpus;Diese Durchsage ist ohne Gewähr.;GPT-low;Ein leises Wispern dringt aus dem alten Bücherregal.
224.wav;dis_014.wav;224;dis_014;GPT-humans;Ein Musiker verzaubert die Menschenmenge.;corpus;Der fünfzehige Fuß kommt in der Tierwelt häufig vor.
188.wav;dis_257.wav;188;dis_257;GPT-middle;Die Blumen blühen bunt im Blumenkasten.;GPT-creative;Ein geheimnisvoller Klang erklingt aus dem verlassenen Gebäude.
075.wav;dis_206.wav;75;dis_206;corpus;In der Dämmerung kommen wir heim.;GPT-normal;Das Rätsel löste sich mit einem einfachen Schlüssel.
151.wav;dis_264.wav;151;dis_264;corpus;Er wird ihr ewig treu bleiben.;GPT-news;Ein neues Gesetz zum Datenschutz tritt in Kraft.
043.wav;dis_238.wav;43;dis_238;corpus;Über die Felder weht ein Wind;GPT-low;Das Café serviert Kaffee mit einem Hauch von Zimt.
072.wav;dis_008.wav;72;dis_008;corpus;Hier richten Zimmerleute ein Dach.;corpus;Er ist zwar kein Genie, aber doch ein fähiger Ingenieur.
117.wav;dis_281.wav;117;dis_281;corpus;Ein Stückchen weiter nördlich ist eine Umgehungsstraße.;GPT-nonfiction;Künstliche Intelligenz revolutioniert die Art und Weise, wie wir denken.
165.wav;dis_090.wav;165;dis_090;GPT-low;In ihrem Blick lag eine tiefe Sehnsucht.;GPT-low;Das Echo seiner Worte hallte im leeren Konzertsaal wider.
065.wav;dis_176.wav;65;dis_176;corpus;Wir haben ein Abteil extra für uns.;GPT-literature;Der Detektiv folgte der Spur bis zum geheimen Versteck.
148.wav;dis_083.wav;148;dis_083;corpus;Schnaps im Tee verfälscht das Aroma.;GPT-low;Im Café plätschert leise der Gesprächsstrom der Gäste.
004.wav;dis_070.wav;4;dis_070;GPT-low;Das kalte Licht leuchtet am Morgen.;GPT-low;Hinter den Augen verbirgt sich die Magie des Unsichtbaren.
037.wav;dis_009.wav;37;dis_009;GPT-low;Ihr Lachen hallte durch den leeren Park.;corpus;Sie schießen spöttische Blicke auf den armen Spanier.
121.wav;dis_231.wav;121;dis_231;corpus;Nach der harten Arbeit brauche ich Zerstreuung.;GPT-low;Während des Picknicks im Park entdeckten wir eine geheime Höhle.
112.wav;dis_082.wav;112;dis_082;corpus;In den Bergen kann man Ski laufen.;GPT-low;Auf dem Markt verführt der Duft von frischem Brot.
156.wav;dis_032.wav;156;dis_032;GPT-low;Am Himmel fliegt ein Schwarm Zugvögel vorbei.;GPT-unprompted;Das majestätische Schloss thront auf dem Hügel über der Stadt.
140.wav;dis_013.wav;140;dis_013;corpus;Der Termin des Treffpunkts wird noch abgesprochen;corpus;Der Verbrecher wollte seinem röchelnden Opfer den Hals abdrehen.
178.wav;dis_239.wav;178;dis_239;GPT-middle;Die Sonne strahlt am wolkenlosen Himmel.;GPT-low;Der Taxifahrer teilte Geschichten von vergessenen Straßen.
189.wav;dis_134.wav;189;dis_134;GPT-middle;Die Uhr tickt ruhig an der Wand.;GPT-high;Der Koch würzte die Suppe mit frischen Kräutern.
163.wav;dis_270.wav;163;dis_270;GPT-low;Zwölf Wanderer wollen den Gipfel erklimmen.;GPT-nonfiction;In der Psychologie erforscht man die Grundlagen menschlichen Verhaltens.
064.wav;dis_202.wav;64;dis_202;corpus;Löst doch die Fahrkarten am Schalter!;GPT-normal;Ein leuchtender Stern führte den Weg durch die Nacht.
005.wav;dis_199.wav;5;dis_199;GPT-low;Im Wald plätschert eine dunkle Quelle.;GPT-literature;In der Ferne erklangen leise die Klänge eines Geigenkonzerts.
206.wav;dis_234.wav;206;dis_234;GPT-unprompted;Die Musik erklingt sanft im Raum.;GPT-low;Das Knirschen von Schnee unter meinen Schuhen weckt Erinnerungen.
213.wav;dis_141.wav;213;dis_141;GPT-low;Der Nachbar sang unter der Dusche Oper.;GPT-high;Die Lehrerin lobte die Schüler für ihre engagierte Mitarbeit.
217.wav;dis_034.wav;217;dis_034;GPT-normal;Ein bunter Schmetterling tanzt im Sonnenlicht.;GPT-unprompted;Die neugierigen Eichhörnchen huschen durch den herbstlichen Wald.
013.wav;dis_197.wav;13;dis_197;GPT-low;Durch den Regen leuchtet das Feuer.;GPT-literature;Die Reisenden betraten einen mysteriösen Pfad im Wald.
093.wav;dis_252.wav;93;dis_252;corpus;Unser Doktor besucht Vater täglich.;GPT-creative;Der Kaffeeduft führt mich durch verschlungene Straßenpfade.
107.wav;dis_116.wav;107;dis_116;corpus;Unserer Tante fehlt gar nichts.;GPT-low;Die verlorenen Schlüssel fanden sich im Blumentopf wieder.
078.wav;dis_227.wav;78;dis_227;corpus;Böse Menschen verdienen ihre Strafe.;GPT-low;Im Hinterhof blühen versteckte Blumen in voller Pracht.
214.wav;dis_080.wav;214;dis_080;GPT-normal;Ein leiser Windhauch streift die Wiesen.;GPT-low;Die Musik belebt den Raum, erzeugt lebendige Schwingungen.
169.wav;dis_053.wav;169;dis_053;GPT-low;Der alte Baum knarrt bei jedem Windstoß.;GPT-unprompted;In der hellen Küche zaubert die Köchin köstliche Gerichte.
033.wav;dis_111.wav;33;dis_111;GPT-high;Die Sonne scheint am blauen Himmel.;GPT-high;Ein Windstoß reißt die Blätter vom Schreibtisch.
183.wav;dis_067.wav;183;dis_067;GPT-middle;Die Treppe führt ins kuschelige Schlafzimmer.;GPT-low;Zwischen den Zeilen verbergen sich die Geheimnisse des Tagebuchs.
174.wav;dis_265.wav;174;dis_265;GPT-middle;Das Fahrrad rollt leise über Kopfsteinpflaster.;GPT-news;Die Nation trauert um einen verstorbenen prominenten Künstler.
042.wav;dis_051.wav;42;dis_051;corpus;Am blauen Himmel ziehen die Wolken;GPT-unprompted;Am sonnigen Tag spazieren die Menschen am Flussufer.
234.wav;dis_035.wav;234;dis_035;GPT-humans;Senioren machen morgendliche Gymnastik im Park.;GPT-unprompted;Auf dem Marktplatz erklingt traditionelle Musik aus der Region.
147.wav;dis_277.wav;147;dis_277;corpus;Ein primitiver Mensch wird keine Scheu kennen.;GPT-nonfiction;Die Linguistik erforscht die Struktur und Entwicklung von Sprachen.
006.wav;dis_072.wav;6;dis_072;GPT-low;Wild pfeift der Wind durch die Wände.;GPT-low;Unter dem Schleier des Morgens erwacht die verzauberte Landschaft.
131.wav;dis_213.wav;131;dis_213;corpus;Fünf Filmtitel müssen wir aufschreiben.;GPT-normal;Das Wetter sieht nach Regen aus, nimm einen Schirm mit.
036.wav;dis_023.wav;36;dis_023;GPT-low;Die Freunde schauten verwirrt auf ihr Getränk.;corpus;Die Tragödie wurde mit langdauernden Gongschlägen eröffnet.
187.wav;dis_006.wav;187;dis_006;GPT-middle;Die Wolken malen Geschichten am Himmel.;GPT-low;Der Kaffee dampfte auf dem Tisch während sie nachdachte.
250.wav;dis_267.wav;250;dis_267;GPT-humans;Die Freunde treffen sich am See.;GPT-news;Ein Skandal um Korruption erschüttert die Regierung.
114.wav;dis_112.wav;114;dis_112;corpus;Es wird auch da chinesisch gesprochen.;GPT-high;Die Uhren ticken in der Nacht melodisch wie Musik.
210.wav;dis_031.wav;210;dis_031;GPT-low;Der Regenbogen endete im Blumentopf.;GPT-unprompted;Beim Kochen experimentiere ich gerne mit neuen Rezepten.
153.wav;dis_241.wav;153;dis_241;GPT-low;Die Melodie klingt nach Sommer.;GPT-creative;Ein sanfter Wind strich durch die grünen Blätter.
014.wav;dis_050.wav;14;dis_050;GPT-low;Fünf Freunde wollen die Welt bereisen.;GPT-unprompted;Die lebendige Stadtmitte pulsiert vor Energie und Vielfalt.
243.wav;dis_260.wav;243;dis_260;GPT-humans;Die Bäckerin singt fröhlich beim Brötchenbacken.;GPT-news;Die Bildungsreform stößt auf geteilte Meinungen in der Bevölkerung.
067.wav;dis_225.wav;67;dis_225;corpus;Leise rollen wir aus dem Bahnhof.;GPT-low;Die alten Straßen der Altstadt erzählen Geschichten.
110.wav;dis_154.wav;110;dis_154;corpus;Wenn der Schnee schmilzt, kommt der Frühling.;GPT-normal;Der Lehrer erklärt das Thema verständlich im Unterricht.
108.wav;dis_195.wav;108;dis_195;corpus;Schulkinder müssen Rechnen und Schreiben lernen.;GPT-literature;Zwischen den Zeilen verbarg sich ein verschlüsseltes Geheimnis.
073.wav;dis_027.wav;73;dis_027;corpus;Es gehört zu einer Feldscheune;GPT-unprompted;Das rauschende Wasser des Flusses beruhigt die Seele.
195.wav;dis_054.wav;195;dis_054;GPT-middle;Vor dem Fenster summt eine kleine Biene.;GPT-unprompted;Der zuverlässige Bus bringt die Passagiere sicher ans Ziel.
111.wav;dis_007.wav;111;dis_007;corpus;Englische Kriminalromane sind ihm die liebste Lektüre.;corpus;Weil zwei Parlamentssitze frei werden, ist eine Nachwahl erforderlich.
022.wav;dis_184.wav;22;dis_184;GPT-daily;Im Park traf ich meinen Deutschlehrer.;GPT-literature;Ein Schauer läuft über den Rücken beim Lesen des Briefes.
216.wav;dis_222.wav;216;dis_222;GPT-normal;Mein Chef hat eine seltsame Frisur.;GPT-low;Im Café um die Ecke gibt es exotische Teesorten.
054.wav;dis_237.wav;54;dis_237;corpus;Danach tut eine Wanderung gut.;GPT-low;Der Duft von frisch gepflückten Beeren liegt in der Luft.
062.wav;dis_179.wav;62;dis_179;corpus;Er gewinnt sechs Spiele nacheinander.;GPT-literature;Die Liebe erblühte wie eine seltene Blume im Winter.
070.wav;dis_258.wav;70;dis_258;corpus;Ein Bauer arbeitet auf seinem Acker.;GPT-news;Umweltschützer protestieren gegen geplante Rodungen in geschützten Wäldern.
088.wav;dis_144.wav;88;dis_144;corpus;Sie isst kein salziges Gericht.;GPT-low;Ein ferner Donnerschlag lässt den Boden erzittern.
047.wav;dis_158.wav;47;dis_158;corpus;Im Geschäft stehen viele Leute;GPT-normal;Das Buch auf dem Tisch wartet auf seine Leserin.
179.wav;dis_115.wav;179;dis_115;GPT-middle;Der Laptop surft schnell im Internet.;GPT-low;Im verlassenen Dorf hörte man plötzlich fremde Stimmen.
247.wav;dis_061.wav;247;dis_061;GPT-humans;Der Postbote liest Gedichte beim Zustellen.;GPT-unprompted;Die großzügige Bibliothek lädt zum entspannten Schmökern ein.
018.wav;dis_186.wav;18;dis_186;GPT-daily;Die Waschmaschine summt sanft im Hintergrund.;GPT-literature;Der Duft von vergilbten Seiten erfüllte die antike Bibliothek.
122.wav;dis_132.wav;122;dis_132;corpus;Der Löwe schleicht im Käfig umher.;GPT-high;Am Strand rauschten die Wellen sanft ans Ufer.
154.wav;dis_044.wav;154;dis_044;GPT-low;Vor dem Haus blühen bunte Blumenbeete.;GPT-unprompted;Die antiken Ruinen zeugen von vergangenen Zivilisationen.
081.wav;dis_117.wav;81;dis_117;corpus;Stehend macht man seine Aussage.;GPT-low;Unter dem Bett entdeckte sie eine vergessene Schatzkarte.
242.wav;dis_171.wav;242;dis_171;GPT-humans;Die Verkäuferin hat einen ungewöhnlichen Akzent.;GPT-news;Ein internationales Gipfeltreffen soll den Handelsstreit entschärfen.
134.wav;dis_005.wav;134;dis_005;corpus;Die letztmalige Feststellung war eindrucksvoll.;GPT-low;Die Sterne funkelten am klaren Nachthimmel über der Stadt.
038.wav;dis_012.wav;38;dis_012;GPT-low;Sein Singen erfüllte den stillen Wald.;corpus;Der herrische Pate versteht sich als Pol der ganzen Familie.
032.wav;dis_190.wav;32;dis_190;GPT-high;Die Katze schläft auf dem Sofa;GPT-literature;In den Straßen der Großstadt verlor er sich selbst.
155.wav;dis_103.wav;155;dis_103;GPT-low;In der Bucht glitzern die silbernen Wellen.;GPT-high;Die Roboter tanzen Tango auf dem Dach des Wolkenkratzers.
077.wav;dis_200.wav;77;dis_200;corpus;Geld allein macht nicht glücklich.;GPT-literature;Das Gemälde spiegelte die Seele des Künstlers wider.
019.wav;dis_042.wav;19;dis_042;GPT-daily;Auf dem Gehweg quietschen Kinderfahrräder.;GPT-unprompted;Die exotischen Vögel zwitschern fröhlich im üppigen Dschungel.
098.wav;dis_251.wav;98;dis_251;corpus;Zum Ausweis gehört ein Lichtbild.;GPT-creative;Die Zeit verliert sich zwischen den Seiten eines Buches.
071.wav;dis_130.wav;71;dis_130;corpus;Der Pflug zieht tiefe Furchen.;GPT-high;Die Blumen blühten prächtig im sonnigen Garten.
228.wav;dis_057.wav;228;dis_057;GPT-humans;Ein Künstler malt Porträts auf dem Marktplatz.;GPT-unprompted;Die robuste Bauweise des Hauses trotzt den widrigen Wetterbedingungen.
061.wav;dis_288.wav;61;dis_288;corpus;Vater mischt gleich die Karten.;GPT-daily;Ich höre gerne Musik, während ich den Haushalt mache.
246.wav;dis_287.wav;246;dis_287;GPT-humans;Der Kellner jongliert mit den Speisekarten.;GPT-daily;Die Hausaufgaben sind erledigt, jetzt ist Freizeit angesagt.
162.wav;dis_278.wav;162;dis_278;GPT-low;Im Meer tummeln sich faszinierende Lebensformen.;GPT-nonfiction;Die Medizingeschichte beleuchtet Meilensteine in der Heilkunst.
221.wav;dis_207.wav;221;dis_207;GPT-humans;Ein älteres Paar spaziert Hand in Hand.;GPT-normal;Der Regenschirm schützte vor den ersten Tropfen des Gewitters.
115.wav;dis_164.wav;115;dis_164;corpus;Vor der Hütte sitzt ein großer Heuhaufen.;GPT-news;Die Aktienmärkte reagieren positiv auf die Wirtschaftsprognose.
029.wav;dis_030.wav;29;dis_030;GPT-high;Autos fahren auf der Straße.;GPT-unprompted;Der laue Sommerabend lädt zu einem Spaziergang ein.
170.wav;dis_063.wav;170;dis_063;GPT-low;Der Kaffeeplausch wurde von Ameisen gestört.;GPT-unprompted;Die idyllische Landschaft wirkt beruhigend auf gestresste Gemüter.
171.wav;dis_138.wav;171;dis_138;GPT-low;Der Fernseher spielt eigenwillige Liebesfilme.;GPT-high;Der Mechaniker reparierte das Auto mit geschickten Handgriffen.
143.wav;dis_256.wav;143;dis_256;corpus;Beim Studienkurs musst Du ernsthaft lernen.;GPT-creative;Die Stadt atmet im Rhythmus der vorbeiziehenden Wolken.
049.wav;dis_015.wav;49;dis_015;corpus;Vater will sich eine Pfeife anzünden;corpus;Die Abfangjäger flogen auch an Neujahr über das Dörfchen.
196.wav;dis_279.wav;196;dis_279;GPT-middle;Im Gebirge glitzern die schneebedeckten Gipfel.;GPT-nonfiction;Die Evolutionstheorie prägt unser Verständnis des Lebens nachhaltig.
085.wav;dis_071.wav;85;dis_071;corpus;Öfen brauchen Kohlen und Briketts.;GPT-low;In der Stille des Waldes lauscht das Echo des Vergessenen.
145.wav;dis_049.wav;145;dis_049;corpus;Die Hilfsmannschaft setzt sich in Marsch.;GPT-unprompted;Die freundliche Nachbarschaft trifft sich im kleinen Park.
236.wav;dis_166.wav;236;dis_166;GPT-humans;In der Galerie bewundern Besucher zeitgenössische Kunst.;GPT-news;Ein Forschungsteam entdeckt einen vielversprechenden Durchbruch in der Medizin.
255.wav;dis_203.wav;255;dis_203;GPT-unprompted;Auf dem Dach singt fröhlich ein Vogel.;GPT-normal;Der Bibliothekar entdeckte ein vergessenes Buch im Regal.
009.wav;dis_100.wav;9;dis_100;GPT-low;Flüsternd erzählt der Wind Geschichten.;GPT-high;Die knusprige Pizza duftet verführerisch aus dem Ofen.
191.wav;dis_087.wav;191;dis_087;GPT-middle;Der Kamin verbreitet wohlige Wärme.;GPT-low;Die Vögel schwirrten um den heruntergefallenen Apfel herum.
095.wav;dis_147.wav;95;dis_147;corpus;Unsere beiden Hunde haben Durst.;GPT-low;Die Kekse in der Dose knisterten beim Öffnen.
125.wav;dis_193.wav;125;dis_193;corpus;Im Dschungel herrscht skrupellose Lebensform.;GPT-literature;Der verlassene Leuchtturm zeugte von längst vergangenen Abenteuern.
222.wav;dis_201.wav;222;dis_201;GPT-humans;Die Freunde teilen Geschichten am Lagerfeuer.;GPT-literature;Ein geheimes Abkommen führte zu einer unerwarteten Allianz.
141.wav;dis_196.wav;141;dis_196;corpus;Nach einer Umfrage kennt niemand dieses Fremdwort.;GPT-literature;Die Straßenlaternen warfen schummriges Licht auf den Kieselweg.
259.wav;dis_284.wav;259;dis_284;GPT-sie;Der Nachbar trägt heute einen bunten Anzug.;GPT-nonfiction;Die Geschichte der Medizin offenbart den Fortschritt in Heilungstechniken.
133.wav;dis_276.wav;133;dis_276;corpus;Achtlos wirft der Knirps Matsch durchs Eckfenster.;GPT-nonfiction;Philosophie reflektiert über grundlegende Fragen menschlichen Denkens.
197.wav;dis_105.wav;197;dis_105;GPT-unprompted;Der Bus fährt durch die Stadt.;GPT-high;Der Mond spiegelte sich im Fensterglas wider.
218.wav;dis_271.wav;218;dis_271;GPT-normal;Die Straßenlaternen leuchten im Abendnebel.;GPT-nonfiction;Architektur spiegelt gesellschaftliche Werte und Entwicklungen wider.
012.wav;dis_189.wav;12;dis_189;GPT-low;Der Fluss plätschert sanft durch das Tal.;GPT-literature;Das Raumschiff schwebte über den unerforschten Planeten.
238.wav;dis_168.wav;238;dis_168;GPT-humans;Kollegen feiern den Abschluss eines erfolgreichen Projekts.;GPT-news;Ein Naturphänomen sorgt für Aufsehen in der lokalen Gemeinschaft.
132.wav;dis_078.wav;132;dis_078;corpus;Ängstlich begreifst du Omas Lage.;GPT-low;Die Morgenröte taucht die Stadt in warmes Rosa.
212.wav;dis_095.wav;212;dis_095;GPT-low;Die Tomate im Kühlschrank keimte.;GPT-high;Die klirrende Kälte lässt die Fensterscheiben gefrieren.
080.wav;dis_048.wav;80;dis_048;corpus;Nervöse Menschen brauchen viel Ruhe.;GPT-unprompted;In der gemütlichen Bäckerei duftet es nach frischem Brot.
146.wav;dis_280.wav;146;dis_280;corpus;Am Samstag öffnet der Kiosk erstmals.;GPT-nonfiction;Neuroplastizität zeigt, wie das Gehirn sich ständig verändert.
158.wav;dis_086.wav;158;dis_086;GPT-low;Das Echo trägt Gedichte fort.;GPT-high;Der Regen durchnässt die bunten Blumen im Garten.
035.wav;dis_255.wav;35;dis_255;GPT-low;Das Baby lachte über die fliegenden Luftballons.;GPT-creative;Hinter dem Gemälde verbirgt sich ein vergessener Liebesbrief.
050.wav;dis_156.wav;50;dis_156;corpus;Seine Frau macht ein trauriges Gesicht.;GPT-normal;Die Katze liegt gemütlich auf der Fensterbank und schläft.
167.wav;dis_268.wav;167;dis_268;GPT-low;Die Tür knarrt laut beim Öffnen.;GPT-news;Der Bürgerentscheid über den neuen Stadtteil steht bevor.
200.wav;dis_155.wav;200;dis_155;GPT-unprompted;Der Fernseher zeigt die Nachrichten.;GPT-normal;Am Wochenende treffe ich mich mit Freunden im Kino.
180.wav;dis_081.wav;180;dis_081;GPT-middle;Die Lampe spendet angenehmes, helles Licht.;GPT-low;Fröhliche Gesichter spiegeln Freude in den Schaufensterscheiben.
105.wav;dis_151.wav;105;dis_151;corpus;Diese zarten Blumen welken rasch.;GPT-normal;Ich trinke meinen Kaffee gerne mit Milch und Zucker.
010.wav;dis_262.wav;10;dis_262;GPT-low;Seine Worte schwebten wie Schmetterlinge.;GPT-news;Der Bürgermeister kündigt Investitionen in die Infrastruktur an.
245.wav;dis_036.wav;245;dis_036;GPT-humans;Die Gärtnerin tanzt zwischen den Blumenbeeten.;GPT-unprompted;Die kunstvollen Graffiti zieren die Wände der urbanen Straßen.
220.wav;dis_233.wav;220;dis_233;GPT-normal;Der Mondschein taucht die Landschaft in Silber.;GPT-low;Zwischen den Blumen des Parks verstecken sich kleine Statuen.
177.wav;dis_123.wav;177;dis_123;GPT-middle;Das Buch liegt auf dem gemütlichen Sofa.;GPT-low;Die Socke verließ die Schublade auf der Suche nach Abenteuern.
101.wav;dis_215.wav;101;dis_215;corpus;Adler fliegen tausend Meter hoch.;GPT-normal;In der Stadt herrscht immer viel Trubel und Lärm.
